Loaded file data/german_print_dict/ZfN_50E_v1.lstm, unpacking...
Warning: LSTMTrainer deserialized an LSTMRecognizer!
Code range changed from 419 to 428!
Num (Extended) outputs,weights in Series:
  1,36,0,1:1, 0
Num (Extended) outputs,weights in Series:
  C3,3:9, 0
  Ft16:16, 160
Total weights = 160
  [C3,3Ft16]:16, 160
  Mp3,3:16, 0
  TxyLfys48:48, 12480
  Lfx96:96, 55680
  RxLrx96:96, 74112
  Lfx192:192, 221952
  Fc428:428, 82604
Total weights = 446988
Previous null char=418 mapped to 427
Continuing from data/german_print_dict/ZfN_50E_v1.lstm
2 Percent improvement time=30, best error was 100 @ 0
At iteration 30/100/100, mean rms=0.270%, delta=1.175%, BCER train=3.388%, BWER train=8.841%, skip ratio=0.000%, New best BCER = 3.388 Transitioned to stage 1 wrote best model:data/ZfN_50E_v1/checkpoints/ZfN_50E_v1_3.388_30_100.checkpoint wrote checkpoint.
At iteration 60/200/200, mean rms=0.272%, delta=1.208%, BCER train=3.532%, BWER train=8.547%, skip ratio=0.000%, New worst BCER = 3.532 wrote checkpoint.
At iteration 88/300/300, mean rms=0.273%, delta=1.280%, BCER train=3.535%, BWER train=9.105%, skip ratio=0.000%, New worst BCER = 3.535 wrote checkpoint.
2 Percent improvement time=114, best error was 100 @ 0
At iteration 114/400/400, mean rms=0.259%, delta=1.179%, BCER train=3.346%, BWER train=8.337%, skip ratio=0.000%, New best BCER = 3.346 wrote checkpoint.
At iteration 146/500/500, mean rms=0.261%, delta=1.140%, BCER train=3.380%, BWER train=8.642%, skip ratio=0.000%, New worst BCER = 3.380 wrote checkpoint.
At iteration 177/600/600, mean rms=0.263%, delta=1.136%, BCER train=3.520%, BWER train=8.950%, skip ratio=0.000%, New worst BCER = 3.520 wrote checkpoint.
At iteration 207/700/700, mean rms=0.270%, delta=1.162%, BCER train=3.575%, BWER train=8.927%, skip ratio=0.000%, New worst BCER = 3.575 wrote checkpoint.
At iteration 236/800/800, mean rms=0.267%, delta=1.119%, BCER train=3.469%, BWER train=8.946%, skip ratio=0.000%, New worst BCER = 3.469 wrote checkpoint.
At iteration 269/900/900, mean rms=0.269%, delta=1.108%, BCER train=3.497%, BWER train=9.135%, skip ratio=0.000%, New worst BCER = 3.497 wrote checkpoint.
At iteration 290/1000/1000, mean rms=0.268%, delta=1.109%, BCER train=3.583%, BWER train=8.973%, skip ratio=0.000%, New worst BCER = 3.583 wrote checkpoint.
At iteration 318/1100/1100, mean rms=0.272%, delta=1.161%, BCER train=3.889%, BWER train=9.363%, skip ratio=0.000%, New worst BCER = 3.889 wrote checkpoint.
At iteration 347/1200/1200, mean rms=0.272%, delta=1.155%, BCER train=3.914%, BWER train=9.470%, skip ratio=0.000%, New worst BCER = 3.914 wrote checkpoint.
At iteration 386/1300/1300, mean rms=0.278%, delta=1.142%, BCER train=4.013%, BWER train=9.517%, skip ratio=0.000%, New worst BCER = 4.013 wrote checkpoint.
At iteration 416/1400/1400, mean rms=0.283%, delta=1.145%, BCER train=4.087%, BWER train=9.933%, skip ratio=0.000%, New worst BCER = 4.087 wrote checkpoint.
At iteration 447/1500/1500, mean rms=0.281%, delta=1.127%, BCER train=3.984%, BWER train=9.592%, skip ratio=0.000%, New worst BCER = 3.984 wrote checkpoint.
At iteration 482/1600/1600, mean rms=0.287%, delta=1.191%, BCER train=4.132%, BWER train=9.702%, skip ratio=0.000%, New worst BCER = 4.132 wrote checkpoint.
At iteration 500/1700/1700, mean rms=0.274%, delta=1.115%, BCER train=3.916%, BWER train=9.413%, skip ratio=0.000%, New worst BCER = 3.916 wrote checkpoint.
At iteration 531/1800/1800, mean rms=0.286%, delta=1.224%, BCER train=4.378%, BWER train=9.861%, skip ratio=0.000%, New worst BCER = 4.378 wrote checkpoint.
At iteration 554/1900/1900, mean rms=0.284%, delta=1.319%, BCER train=4.342%, BWER train=9.643%, skip ratio=0.000%, New worst BCER = 4.342 wrote checkpoint.
At iteration 582/2000/2000, mean rms=0.288%, delta=1.348%, BCER train=4.397%, BWER train=9.875%, skip ratio=0.000%, New worst BCER = 4.397 wrote checkpoint.
At iteration 616/2100/2100, mean rms=0.287%, delta=1.321%, BCER train=4.152%, BWER train=9.394%, skip ratio=0.000%, New worst BCER = 4.152 wrote checkpoint.
At iteration 648/2200/2200, mean rms=0.290%, delta=1.337%, BCER train=4.247%, BWER train=9.557%, skip ratio=0.000%, New worst BCER = 4.247 wrote checkpoint.
At iteration 673/2300/2300, mean rms=0.284%, delta=1.332%, BCER train=4.254%, BWER train=9.401%, skip ratio=0.000%, New worst BCER = 4.254 wrote checkpoint.
At iteration 702/2400/2400, mean rms=0.288%, delta=1.407%, BCER train=4.409%, BWER train=9.322%, skip ratio=0.000%, New worst BCER = 4.409 wrote checkpoint.
At iteration 731/2500/2500, mean rms=0.293%, delta=1.438%, BCER train=4.575%, BWER train=9.616%, skip ratio=0.000%, New worst BCER = 4.575 wrote checkpoint.
At iteration 762/2600/2600, mean rms=0.287%, delta=1.353%, BCER train=4.462%, BWER train=9.278%, skip ratio=0.000%, New worst BCER = 4.462 wrote checkpoint.
At iteration 796/2700/2700, mean rms=0.308%, delta=1.646%, BCER train=4.918%, BWER train=9.975%, skip ratio=0.000%, New worst BCER = 4.918 wrote checkpoint.
At iteration 822/2800/2800, mean rms=0.301%, delta=1.547%, BCER train=4.503%, BWER train=9.670%, skip ratio=0.000%, New worst BCER = 4.503 wrote checkpoint.
At iteration 853/2900/2900, mean rms=0.305%, delta=1.504%, BCER train=4.665%, BWER train=9.961%, skip ratio=0.000%, New worst BCER = 4.665 wrote checkpoint.
At iteration 881/3000/3000, mean rms=0.302%, delta=1.473%, BCER train=4.614%, BWER train=9.836%, skip ratio=0.000%, New worst BCER = 4.614 wrote checkpoint.
At iteration 915/3100/3100, mean rms=0.307%, delta=1.496%, BCER train=4.813%, BWER train=10.286%, skip ratio=0.000%, New worst BCER = 4.813 wrote checkpoint.
At iteration 951/3200/3200, mean rms=0.314%, delta=1.703%, BCER train=4.870%, BWER train=10.417%, skip ratio=0.000%, New worst BCER = 4.870 wrote checkpoint.
At iteration 976/3300/3300, mean rms=0.315%, delta=1.721%, BCER train=4.816%, BWER train=10.302%, skip ratio=0.000%, New worst BCER = 4.816 wrote checkpoint.
At iteration 1003/3400/3400, mean rms=0.309%, delta=1.643%, BCER train=4.592%, BWER train=10.022%, skip ratio=0.000%, New worst BCER = 4.592 wrote checkpoint.
At iteration 1029/3500/3500, mean rms=0.305%, delta=1.619%, BCER train=4.613%, BWER train=9.972%, skip ratio=0.000%, New worst BCER = 4.613 wrote checkpoint.
At iteration 1055/3600/3600, mean rms=0.302%, delta=1.621%, BCER train=4.398%, BWER train=9.741%, skip ratio=0.000%, New worst BCER = 4.398 wrote checkpoint.
At iteration 1080/3700/3700, mean rms=0.288%, delta=1.372%, BCER train=4.173%, BWER train=9.170%, skip ratio=0.000%, New worst BCER = 4.173 wrote checkpoint.
At iteration 1103/3800/3800, mean rms=0.280%, delta=1.339%, BCER train=4.069%, BWER train=8.650%, skip ratio=0.000%, New worst BCER = 4.069 wrote checkpoint.
At iteration 1136/3900/3900, mean rms=0.280%, delta=1.339%, BCER train=4.182%, BWER train=8.662%, skip ratio=0.000%, New worst BCER = 4.182 wrote checkpoint.
At iteration 1170/4000/4000, mean rms=0.285%, delta=1.369%, BCER train=4.121%, BWER train=8.717%, skip ratio=0.000%, wrote checkpoint.
At iteration 1200/4100/4100, mean rms=0.273%, delta=1.281%, BCER train=3.793%, BWER train=8.240%, skip ratio=0.000%, wrote checkpoint.
At iteration 1224/4200/4200, mean rms=0.258%, delta=0.981%, BCER train=3.386%, BWER train=7.451%, skip ratio=0.000%, wrote checkpoint.
At iteration 1253/4300/4300, mean rms=0.263%, delta=1.138%, BCER train=3.384%, BWER train=7.634%, skip ratio=0.000%, wrote checkpoint.
At iteration 1283/4400/4400, mean rms=0.267%, delta=1.171%, BCER train=3.484%, BWER train=8.005%, skip ratio=0.000%, wrote checkpoint.
At iteration 1310/4500/4500, mean rms=0.266%, delta=1.203%, BCER train=3.370%, BWER train=7.918%, skip ratio=0.000%, wrote checkpoint.
2 Percent improvement time=1331, best error was 100 @ 0
Warning: LSTMTrainer deserialized an LSTMRecognizer!
At iteration 1331/4600/4600, mean rms=0.262%, delta=1.167%, BCER train=3.294%, BWER train=7.787%, skip ratio=0.000%, New best BCER = 3.294 wrote checkpoint.
2 Percent improvement time=1355, best error was 100 @ 0
At iteration 1355/4700/4700, mean rms=0.257%, delta=1.126%, BCER train=3.061%, BWER train=7.501%, skip ratio=0.000%, New best BCER = 3.061 wrote best model:data/ZfN_50E_v1/checkpoints/ZfN_50E_v1_3.061_1355_4700.checkpoint wrote checkpoint.
2 Percent improvement time=1372, best error was 100 @ 0
At iteration 1372/4800/4800, mean rms=0.252%, delta=1.095%, BCER train=2.961%, BWER train=7.358%, skip ratio=0.000%, New best BCER = 2.961 wrote best model:data/ZfN_50E_v1/checkpoints/ZfN_50E_v1_2.961_1372_4800.checkpoint wrote checkpoint.
2 Percent improvement time=1396, best error was 100 @ 0
At iteration 1396/4900/4900, mean rms=0.244%, delta=1.025%, BCER train=2.647%, BWER train=6.929%, skip ratio=0.000%, New best BCER = 2.647 wrote best model:data/ZfN_50E_v1/checkpoints/ZfN_50E_v1_2.647_1396_4900.checkpoint wrote checkpoint.
At iteration 1431/5000/5000, mean rms=0.244%, delta=0.999%, BCER train=2.696%, BWER train=7.037%, skip ratio=0.000%, New worst BCER = 2.696 wrote checkpoint.
At iteration 1456/5100/5100, mean rms=0.244%, delta=1.000%, BCER train=2.685%, BWER train=7.033%, skip ratio=0.000%, New worst BCER = 2.685 wrote checkpoint.
At iteration 1477/5200/5200, mean rms=0.244%, delta=1.015%, BCER train=2.751%, BWER train=7.187%, skip ratio=0.000%, New worst BCER = 2.751 wrote checkpoint.
2 Percent improvement time=1502, best error was 100 @ 0
At iteration 1502/5300/5300, mean rms=0.234%, delta=0.799%, BCER train=2.632%, BWER train=6.855%, skip ratio=0.000%, New best BCER = 2.632 wrote checkpoint.
At iteration 1529/5400/5400, mean rms=0.234%, delta=0.808%, BCER train=2.729%, BWER train=6.887%, skip ratio=0.000%, New worst BCER = 2.729 wrote checkpoint.
At iteration 1554/5500/5500, mean rms=0.235%, delta=0.808%, BCER train=2.882%, BWER train=6.972%, skip ratio=0.000%, New worst BCER = 2.882 wrote checkpoint.
At iteration 1583/5600/5600, mean rms=0.240%, delta=0.843%, BCER train=3.046%, BWER train=7.385%, skip ratio=0.000%, New worst BCER = 3.046 wrote checkpoint.
At iteration 1609/5700/5700, mean rms=0.245%, delta=0.877%, BCER train=3.246%, BWER train=7.882%, skip ratio=0.000%, New worst BCER = 3.246 wrote checkpoint.
At iteration 1639/5800/5800, mean rms=0.253%, delta=0.919%, BCER train=3.398%, BWER train=8.167%, skip ratio=0.000%, New worst BCER = 3.398 wrote checkpoint.
At iteration 1669/5900/5900, mean rms=0.258%, delta=0.961%, BCER train=3.491%, BWER train=8.375%, skip ratio=0.000%, New worst BCER = 3.491 wrote checkpoint.
At iteration 1694/6000/6000, mean rms=0.248%, delta=0.901%, BCER train=3.238%, BWER train=7.933%, skip ratio=0.000%, New worst BCER = 3.238 wrote checkpoint.
At iteration 1714/6100/6100, mean rms=0.247%, delta=0.911%, BCER train=3.277%, BWER train=7.985%, skip ratio=0.000%, New worst BCER = 3.277 wrote checkpoint.
At iteration 1742/6200/6200, mean rms=0.253%, delta=0.961%, BCER train=3.403%, BWER train=8.406%, skip ratio=0.000%, New worst BCER = 3.403 wrote checkpoint.
At iteration 1766/6300/6300, mean rms=0.260%, delta=1.112%, BCER train=3.602%, BWER train=8.744%, skip ratio=0.000%, New worst BCER = 3.602 wrote checkpoint.
